50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y
,,,,,,,,,,,,,,,,,,,,0.461656,,,,,,,,,,,,,,,2c5db794-0ebf-43b6-9230-597f44765b14,160,,"[28.7, 72.3]",3869685,4,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Antoine Griezmann,5487.0,Center Attacking Midfield,12,Argentina,779,['482e3751-4ab6-42dd-a14e-a6b477bf2ca1'],16,,,,,,,,,,,,,,,,,France,771,00:04:16.373,Pressure,,28.7,72.3,,
,,,,,,,,,,,,,,,,,,,,0.19701,,,,,,,,,,,,,,,40b64961-2cdc-4b4e-b04b-7fb6f035a1a2,196,,"[54.2, 42.7]",3869685,4,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Antoine Griezmann,5487.0,Center Attacking Midfield,15,France,771,,52,,,,,,,,,,,,,,,,,France,771,00:04:52.750,Pressure,,54.2,42.7,,
,,,,,,,,,,,,,,True,,,,,,0.331837,,,,,,,,,,,,,,,9d4a1489-aac3-4beb-8e44-9731575e9145,382,,"[71.1, 77.2]",3869685,11,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Jules Koundé,4445.0,Right Back,21,Argentina,779,,20,,,,,,,,,,,,,,,,,France,771,00:11:20.846,Pressure,,71.1,77.2,,
,,,,,,,,,,,,,,,,,,,,0.46356,,,,,,,,,,,,,,,bd817fd3-676b-402e-aa20-9de5e7f6cb8a,426,,"[19.5, 54.1]",3869685,12,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Aurélien Djani Tchouaméni,10481.0,Right Defensive Midfield,21,Argentina,779,"['00609c4f-262b-4cdf-8a5a-b100635503a0', '575a79b8-4a3a-4d3f-a83d-21bbb4806755']",2,,,,,,,,,,,,,,,,,France,771,00:12:02.401,Pressure,,19.5,54.1,,
,,,,,,,,,,,,,,,,,,,,0.47556,,,,,,,,,,,,,,,938ede08-c03b-4944-939b-e1d8eb9b9f24,476,,"[100.4, 29.0]",3869685,13,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Olivier Giroud,3604.0,Center Forward,23,Argentina,779,['cb141dd1-9e65-4af6-95b1-fb0217e6840d'],34,,,,,,,,,,,,,,,,,France,771,00:13:34.645,Pressure,,100.4,29.0,,
,,,,,,,,,,,,,,,,,,,,1.369574,,,,,,,,,,,,,,,65a5b6cd-2ed1-4ba6-801a-2a63df72e83d,528,,"[41.3, 72.5]",3869685,14,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Jules Koundé,4445.0,Right Back,25,Argentina,779,"['4b194c3a-1b2d-4a9b-af13-45e8cb94e74d', '8f40b87c-4ff7-4418-bb9e-82f8b6711ebb', 'cba89f29-2e13-411d-aec1-ff595a43b9a7']",43,,,,,,,,,,,,,,,,,France,771,00:14:43.410,Pressure,,41.3,72.5,,
,,,,,,,,,,,,,,,,,,,,1.202277,,,,,,,,,,,,,,,b05e27eb-cda7-4ec1-8163-4cce40e92824,549,,"[38.8, 76.1]",3869685,15,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Jules Koundé,4445.0,Right Back,25,Argentina,779,"['0a4a6905-8614-4372-a6e3-41e6f54dca34', '4cb4f68a-e73b-4489-a6e2-23a5bec0f905', 'e627ea10-3a2b-40f0-ab4d-4bcccc8d72eb']",3,,,,,,,,,,,,,,,,,France,771,00:15:03.389,Pressure,,38.8,76.1,,
,,,,,,,,,,,,,,,,,,,,0.970487,,,,,,,,,,,,,,,39dea69b-232f-4d04-a816-cbb76da706e7,730,,"[19.5, 7.9]",3869685,20,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Theo Bernard François Hernández,6704.0,Left Back,31,Argentina,779,['79a28c10-9c5c-4eec-9be3-b9866e8f73f5'],22,,,,,,,,,,,,,,,,,France,771,00:20:22.349,Pressure,,19.5,7.9,,
,,,,,,,,,,,,,,,,,,,,0.451428,,,,,,,,,,,,,,,a7562bb1-822f-4b2c-990e-31f4ed18f3fe,745,,"[48.8, 58.1]",3869685,20,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Antoine Griezmann,5487.0,Center Attacking Midfield,31,Argentina,779,['2211a908-5f73-4ded-add8-0caadbe5385f'],35,,,,,,,,,,,,,,,,,France,771,00:20:35.381,Pressure,,48.8,58.1,,
,,,,,,,,,,,,,,,,,,,,1.241029,,,,,,,,,,,,,,,70db67b9-8679-4434-819b-ffa1fde9a4fb,755,,"[47.1, 26.0]",3869685,20,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Olivier Giroud,3604.0,Center Forward,31,Argentina,779,['0f336ba4-5840-4182-a00c-efbc6bad650d'],42,,,,,,,,,,,,,,,,,France,771,00:20:42.683,Pressure,,47.1,26.0,,
